Country,WFC,Population (k),GDP (nominal M$USD),GDP (PPP M$USD), R&D
US,18643,320126,16768100,16768100,2.79
China,5206,1367490,9240270,16149100,1.98
Germany,4077,80783,3730260,3512800,2.92
Japan,3371,127070,4919563,4667600,3.67
UK,3290,64105,2678454,2320400,1.72
France,2238,66100,2806427,2534500,2.26
Canada,1483,35675,1826768,1518400,1.73
Spain,1180,46507,1393040,1488800,1.3
Switzerland,1175,8211,685434,432000,2.3
South Korea,1151,50424,1304553,1697000,4.04
Italy,1075,60782,2149484,2035400,1.27
Australia,944,23700,1560372,1052600,1.7
India,852,1265940,2149484,6776000,0.9
Netherlands,763,16883,853539,780300,2.16
Taiwan,543,23373,926441,970900,2.3
Sweden,502,9737,579679,418200,3.41
Singapore,483,5469,297941,425300,2.10
Israel,472,8281,290550,257500,3.93
